Word in header,Number of times it appears,Does it map to a page in the site,Does it have extensive headers,,,
a,1,N,N,,,
acceptance,1,Y,N,,,
accident,1,Y,Y,,,
actons,1,N,N,,,
advertised,1,N,N,,,
afraid,1,N,N,,,
aldgate,1,Y,Y,,,
alley,3,N,N,,,
alphgate,1,Y,Y,,,
anger,1,Y,N,,,
arch,1,N,N,,,
archway,1,N,N,,,
art,1,Y,Y,,,
artec,1,Y,Y,,,
audience,1,Y,N,,,
author,1,Y,N,,,
authority,1,Y,N,,,
authors,1,Y,N,,,
bagel,1,N,N,,,
baltic,1,N,N,,,
bank,1,Y,N,,,
basin,1,N,N,,,
bath,1,Y,Y,,,
bbc,1,N,N,,,
belfast,1,N,N,,,
big,1,N,N,,,
bin,1,N,N,,,
binary,3,Y,N,,,
birth,1,Y,Y,,,
bishopsgate,1,Y,Y,,,
bite,1,N,N,,,
blackfriars,1,N,N,,,
bomb,3,N,N,,,
bone,2,N,N,,,
bones,1,N,N,,,
box,1,N,N,,,
bridge,3,N,N,,,
broken,2,N,N,,,
buggers,1,Y,N,,,
bugging,1,N,N,,,
building,1,N,N,,,
bunker,1,N,N,,,
cafe,1,Y,Y,,,
camden,1,N,N,,,
canal,1,N,N,,,
cap,1,N,N,,,
cardinal,1,N,N,,,
cave,1,N,N,,,
cemetry,1,N,N,,,
centre,1,N,N,,,
change,2,Y,N,,,
charing,1,N,N,,,
chisenhale,1,Y,N,,,
circle,1,N,N,,,
circus,2,N,N,,,
city,1,N,N,,,
clockwise,1,Y,N,,,
collective,1,Y,N,,,
computers,1,N,N,,,
conflict,1,Y,N,,,
confused,1,Y,N,,,
confusion,1,Y,N,,,
contour,1,N,N,,,
court,1,N,N,,,
covent,1,N,N,,,
creativity,1,Y,N,,,
cross,1,N,N,,,
cutting,1,Y,N,,,
death,1,Y,N,,,
deciders,1,Y,N,,,
delusion,1,Y,N,,,
denial,1,Y,N,,,
denied,1,Y,N,,,
desire,1,Y,N,,,
destruction,1,Y,N,,,
diffusion,1,Y,N,,,
dillions,1,Y,N,,,
discard,1,Y,N,,,
dock,1,N,N,,,
dunstans,1,N,N,,,
ease,1,Y,N,,,
electricity,1,Y,N,,,
enforced,1,Y,N,,,
escalator,1,Y,N,,,
essex,1,N,N,,,
evolution,1,Y,N,,,
eyes,1,N,N,,,
farringdon,1,Y,Y,,,
fear,1,Y,N,,,
feedback,1,Y,N,,,
fish,1,N,N,,,
